time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,16,8,0,0
2026-01-28 00:00:00+00:00,15,6,1,1
2026-01-29 00:00:00+00:00,10,5,0,0
2026-01-30 00:00:00+00:00,16,7,1,1
2026-01-31 00:00:00+00:00,12,7,0,0
2026-02-01 00:00:00+00:00,6,5,1,1
2026-02-02 00:00:00+00:00,12,7,2,2
2026-02-03 00:00:00+00:00,16,7,0,0
2026-02-04 00:00:00+00:00,6,5,15,3
2026-02-05 00:00:00+00:00,14,9,0,0
2026-02-06 00:00:00+00:00,5,4,2,1
2026-02-07 00:00:00+00:00,16,7,5,1
2026-02-08 00:00:00+00:00,17,8,1,1
2026-02-09 00:00:00+00:00,16,7,0,0
