time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-17 00:00:00+00:00,7,3,0,0
2026-05-18 00:00:00+00:00,17,4,25,1
2026-05-19 00:00:00+00:00,23,10,1,1
2026-05-20 00:00:00+00:00,23,6,0,0
2026-05-21 00:00:00+00:00,12,7,0,0
2026-05-22 00:00:00+00:00,9,4,2,1
2026-05-23 00:00:00+00:00,20,7,6,3
2026-05-24 00:00:00+00:00,13,8,2,1
2026-05-25 00:00:00+00:00,19,5,1,1
2026-05-26 00:00:00+00:00,22,10,12,1
2026-05-27 00:00:00+00:00,2,2,0,0
2026-05-28 00:00:00+00:00,20,7,0,0
2026-05-29 00:00:00+00:00,16,7,0,0
2026-05-30 00:00:00+00:00,21,7,0,0
