time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-23 00:00:00+00:00,69,23,0,0
2026-04-24 00:00:00+00:00,89,32,30,1
2026-04-25 00:00:00+00:00,68,28,158,157
2026-04-26 00:00:00+00:00,15,5,0,0
2026-04-27 00:00:00+00:00,24,9,11,1
2026-04-28 00:00:00+00:00,18,8,9,1
2026-04-29 00:00:00+00:00,63,17,0,0
2026-04-30 00:00:00+00:00,27,7,0,0
2026-05-01 00:00:00+00:00,21,6,0,0
2026-05-02 00:00:00+00:00,48,12,0,0
2026-05-03 00:00:00+00:00,29,12,0,0
2026-05-04 00:00:00+00:00,32,9,1,1
2026-05-05 00:00:00+00:00,47,13,0,0
2026-05-06 00:00:00+00:00,15,5,1,1
