time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-22 00:00:00+00:00,44,10,2,1
2026-06-23 00:00:00+00:00,45,15,28,3
2026-06-24 00:00:00+00:00,15,5,1,1
2026-06-25 00:00:00+00:00,30,9,4,3
2026-06-26 00:00:00+00:00,15,6,0,0
2026-06-27 00:00:00+00:00,13,7,0,0
2026-06-28 00:00:00+00:00,16,7,1,1
2026-06-29 00:00:00+00:00,15,6,0,0
2026-06-30 00:00:00+00:00,13,4,1,1
2026-07-01 00:00:00+00:00,14,5,1,1
2026-07-02 00:00:00+00:00,23,9,2,1
2026-07-03 00:00:00+00:00,17,7,0,0
2026-07-04 00:00:00+00:00,25,12,0,0
2026-07-05 00:00:00+00:00,17,8,1,1
