time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,20,7,0,0
2026-05-29 00:00:00+00:00,16,7,0,0
2026-05-30 00:00:00+00:00,21,7,0,0
2026-05-31 00:00:00+00:00,19,9,0,0
2026-06-01 00:00:00+00:00,17,7,0,0
2026-06-02 00:00:00+00:00,14,8,0,0
2026-06-03 00:00:00+00:00,6,2,0,0
2026-06-04 00:00:00+00:00,5,5,0,0
2026-06-05 00:00:00+00:00,3,2,0,0
2026-06-06 00:00:00+00:00,25,11,0,0
2026-06-07 00:00:00+00:00,26,12,0,0
2026-06-08 00:00:00+00:00,19,9,1,1
2026-06-09 00:00:00+00:00,23,9,0,0
2026-06-10 00:00:00+00:00,23,12,0,0
