url_path,views_total,views_unique
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN,15,5
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pull/10,4,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pulls,4,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pull/11,3,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pull/10/commits,3,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/compare/main...jkneifl:ApHIN:main,2,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/security,2,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/security/dependabot,2,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/tree/github-repo-stats,2,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/tree/main,2,1
