time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-02 00:00:00+00:00,1,1,1.0,1.0
2025-11-03 00:00:00+00:00,26,7,2.0,2.0
2025-11-04 00:00:00+00:00,2,2,16.0,3.0
2025-11-05 00:00:00+00:00,12,5,,
2025-11-06 00:00:00+00:00,13,8,2.0,2.0
2025-11-07 00:00:00+00:00,3,3,1.0,1.0
2025-11-08 00:00:00+00:00,12,6,2.0,1.0
2025-11-09 00:00:00+00:00,9,4,,
2025-11-10 00:00:00+00:00,7,7,1.0,1.0
2025-11-11 00:00:00+00:00,12,7,1.0,1.0
2025-11-12 00:00:00+00:00,3,3,,
2025-11-13 00:00:00+00:00,4,3,,
2025-11-14 00:00:00+00:00,9,4,,
2025-11-15 00:00:00+00:00,3,1,,
