time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,17,11,0,0
2026-04-12 00:00:00+00:00,10,5,1,1
2026-04-13 00:00:00+00:00,31,12,0,0
2026-04-14 00:00:00+00:00,16,6,4,1
2026-04-15 00:00:00+00:00,32,10,7,4
2026-04-16 00:00:00+00:00,12,4,0,0
2026-04-17 00:00:00+00:00,26,8,0,0
2026-04-18 00:00:00+00:00,23,8,0,0
2026-04-19 00:00:00+00:00,35,14,3,1
2026-04-20 00:00:00+00:00,38,19,0,0
2026-04-21 00:00:00+00:00,55,26,1,1
2026-04-22 00:00:00+00:00,83,31,0,0
2026-04-23 00:00:00+00:00,69,23,0,0
2026-04-24 00:00:00+00:00,89,32,30,1
