time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,5,5,0,0
2026-06-05 00:00:00+00:00,3,2,0,0
2026-06-06 00:00:00+00:00,25,11,0,0
2026-06-07 00:00:00+00:00,26,12,0,0
2026-06-08 00:00:00+00:00,19,9,1,1
2026-06-09 00:00:00+00:00,23,9,0,0
2026-06-10 00:00:00+00:00,23,12,0,0
2026-06-11 00:00:00+00:00,23,13,0,0
2026-06-12 00:00:00+00:00,24,8,2,2
2026-06-13 00:00:00+00:00,23,10,2,1
2026-06-14 00:00:00+00:00,16,4,0,0
2026-06-15 00:00:00+00:00,29,12,0,0
2026-06-16 00:00:00+00:00,20,10,0,0
2026-06-17 00:00:00+00:00,34,12,6,1
