time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,63,17,0,0
2026-04-30 00:00:00+00:00,27,7,0,0
2026-05-01 00:00:00+00:00,21,6,0,0
2026-05-02 00:00:00+00:00,48,12,0,0
2026-05-03 00:00:00+00:00,29,12,0,0
2026-05-04 00:00:00+00:00,32,9,1,1
2026-05-05 00:00:00+00:00,47,13,0,0
2026-05-06 00:00:00+00:00,15,5,1,1
2026-05-07 00:00:00+00:00,13,7,0,0
2026-05-08 00:00:00+00:00,57,8,0,0
2026-05-09 00:00:00+00:00,9,4,0,0
2026-05-10 00:00:00+00:00,28,7,0,0
2026-05-11 00:00:00+00:00,16,4,1,1
2026-05-12 00:00:00+00:00,2,2,0,0
