time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-12 00:00:00+00:00,7,3,2,1
2026-07-13 00:00:00+00:00,17,8,0,0
2026-07-14 00:00:00+00:00,10,10,0,0
2026-07-15 00:00:00+00:00,15,6,0,0
2026-07-16 00:00:00+00:00,21,7,0,0
2026-07-17 00:00:00+00:00,16,6,0,0
2026-07-18 00:00:00+00:00,16,7,0,0
2026-07-19 00:00:00+00:00,9,4,0,0
2026-07-20 00:00:00+00:00,13,7,0,0
2026-07-21 00:00:00+00:00,21,6,0,0
2026-07-22 00:00:00+00:00,5,5,0,0
2026-07-23 00:00:00+00:00,13,8,0,0
2026-07-24 00:00:00+00:00,12,7,0,0
2026-07-25 00:00:00+00:00,16,8,0,0
