time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,15,5,1,1
2026-05-07 00:00:00+00:00,13,7,0,0
2026-05-08 00:00:00+00:00,57,8,0,0
2026-05-09 00:00:00+00:00,9,4,0,0
2026-05-10 00:00:00+00:00,28,7,0,0
2026-05-11 00:00:00+00:00,16,4,1,1
2026-05-12 00:00:00+00:00,2,2,0,0
2026-05-13 00:00:00+00:00,39,8,1,1
2026-05-14 00:00:00+00:00,9,5,0,0
2026-05-15 00:00:00+00:00,63,9,0,0
2026-05-16 00:00:00+00:00,44,5,0,0
2026-05-17 00:00:00+00:00,7,3,0,0
2026-05-18 00:00:00+00:00,17,4,25,1
2026-05-19 00:00:00+00:00,23,10,1,1
