time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-09 00:00:00+00:00,16,7,0,0
2026-02-10 00:00:00+00:00,12,7,22,2
2026-02-11 00:00:00+00:00,6,5,17,1
2026-02-12 00:00:00+00:00,5,4,8,1
2026-02-13 00:00:00+00:00,10,5,0,0
2026-02-14 00:00:00+00:00,18,8,0,0
2026-02-15 00:00:00+00:00,20,11,0,0
2026-02-16 00:00:00+00:00,12,7,0,0
2026-02-17 00:00:00+00:00,9,4,0,0
2026-02-18 00:00:00+00:00,16,8,15,3
2026-02-19 00:00:00+00:00,4,3,2,2
2026-02-20 00:00:00+00:00,21,8,1,1
2026-02-21 00:00:00+00:00,9,5,0,0
2026-02-22 00:00:00+00:00,12,7,1,1
