url_path,views_total,views_unique
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN,29,12
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pull/9,5,3
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/main/README.md,4,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pull/9/files,4,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/github-repo-stats/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/latest-report/report.pdf,3,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pulls,3,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/tree/github-repo-stats,3,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/tree/github-repo-stats/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN,3,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/tree/github-repo-stats/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/latest-report,3,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/main/pyproject.toml,2,2
