url_path,views_total,views_unique
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN,28,12
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pull/9,5,3
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/main/README.md,4,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pull/9/files,4,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/main/pyproject.toml,3,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pulls,3,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/tree/main/examples,2,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/actions,2,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/actions/runs/13056204981,1,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/github-repo-stats/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/latest-report/report_for_pdf.html,1,1
