time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,11,5,1.0,1.0
2025-10-29 00:00:00+00:00,8,3,1.0,1.0
2025-10-30 00:00:00+00:00,2,2,31.0,3.0
2025-10-31 00:00:00+00:00,3,3,18.0,6.0
2025-11-01 00:00:00+00:00,1,1,,
2025-11-02 00:00:00+00:00,1,1,1.0,1.0
2025-11-03 00:00:00+00:00,26,7,2.0,2.0
2025-11-04 00:00:00+00:00,2,2,16.0,3.0
2025-11-05 00:00:00+00:00,12,5,,
2025-11-06 00:00:00+00:00,13,8,2.0,2.0
2025-11-07 00:00:00+00:00,3,3,1.0,1.0
2025-11-08 00:00:00+00:00,12,6,2.0,1.0
2025-11-09 00:00:00+00:00,9,4,,
2025-11-10 00:00:00+00:00,5,5,1.0,1.0
