time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-01 00:00:00+00:00,14,5,1,1
2026-07-02 00:00:00+00:00,23,9,2,1
2026-07-03 00:00:00+00:00,17,7,0,0
2026-07-04 00:00:00+00:00,25,12,0,0
2026-07-05 00:00:00+00:00,17,8,1,1
2026-07-06 00:00:00+00:00,15,6,0,0
2026-07-07 00:00:00+00:00,23,9,0,0
2026-07-08 00:00:00+00:00,4,3,0,0
2026-07-09 00:00:00+00:00,1,1,0,0
2026-07-10 00:00:00+00:00,11,7,0,0
2026-07-11 00:00:00+00:00,23,7,0,0
2026-07-12 00:00:00+00:00,7,3,2,1
2026-07-13 00:00:00+00:00,17,8,0,0
2026-07-14 00:00:00+00:00,10,10,0,0
