url_path,views_total,views_unique
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN,11,4
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/tree/github-repo-stats,4,3
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/tree/github-repo-stats/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN,4,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/graphs/traffic,3,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/activity,2,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/github-repo-stats/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/latest-report/report.html,2,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/pulse,2,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/stargazers,2,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/github-repo-stats/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/latest-report/report_for_pdf.html,1,1
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/github-repo-stats/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/latest-report/report.pdf,1,1
