url_path,views_total,views_unique
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN,6,5
/institute-eng-and-comp-mechanics-ustgt/aphin,3,2
/Institute-Eng-and-Comp-Mechanics-UStgt/ApHIN/blob/main/README.md,2,2
